"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW9,SW8,SW5,SW1,SW3,SW7,SW2,SW4,SW6,SW10,SW11";"SW_Cherry_MX_1.00u_PCB";11;"SW_Push";;;
2;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
